Country,Average height women,Weight women,BMI women
Netherlands,1.70 m,73.2 kg,25.3
Montenegro,1.70 m,75.3 kg,26.2
Denmark,1.69 m,70.2 kg,24.6
Iceland,1.68 m,72.6 kg,25.6
Estonia,1.68 m,73.7 kg,26.0
Serbia,1.68 m,72.6 kg,25.7
Latvia,1.68 m,74.5 kg,26.4
Czechia,1.68 m,74.2 kg,26.4
Lithuania,1.67 m,73.1 kg,26.1
Slovenia,1.67 m,74.2 kg,26.6
Bosnia and Herzegovina,1.67 m,70.6 kg,25.3
Cook Islands,1.67 m,92.8 kg,33.3
American Samoa,1.67 m,98.1 kg,35.2
Slovakia,1.67 m,71.3 kg,25.6
Croatia,1.67 m,74.7 kg,26.9
Dominica,1.67 m,80.8 kg,29.1
Sweden,1.67 m,70.5 kg,25.4
Niue,1.67 m,92.6 kg,33.4
Norway,1.66 m,72.6 kg,26.2
Austria,1.66 m,68.3 kg,24.7
Belarus,1.66 m,74.4 kg,26.9
Ukraine,1.66 m,72.9 kg,26.4
Finland,1.66 m,71.0 kg,25.7
French Polynesia,1.66 m,81.3 kg,29.5
Germany,1.66 m,71.7 kg,26.0
Tonga,1.66 m,93.1 kg,33.9
Tokelau,1.66 m,92.5 kg,33.7
Bermuda,1.66 m,80.4 kg,29.3
Poland,1.65 m,71.5 kg,26.1
Greece,1.65 m,73.7 kg,26.9
Grenada,1.65 m,78.7 kg,28.8
Antigua and Barbuda,1.65 m,75.9 kg,27.8
Andorra,1.65 m,71.7 kg,26.3
Saint Lucia,1.65 m,82.4 kg,30.3
Luxembourg,1.65 m,69.7 kg,25.7
New Zealand,1.65 m,75.9 kg,28.0
Canada,1.65 m,72.4 kg,26.7
Australia,1.65 m,72.6 kg,26.8
France,1.64 m,66.0 kg,24.4
Russia,1.64 m,72.2 kg,26.7
Ireland,1.64 m,73.1 kg,27.1
Romania,1.64 m,72.2 kg,26.8
Bulgaria,1.64 m,69.6 kg,25.9
Switzerland,1.64 m,63.9 kg,23.8
United Kingdom,1.64 m,72.7 kg,27.1
Belgium,1.64 m,68.8 kg,25.7
Lebanon,1.63 m,73.4 kg,27.5
Tuvalu,1.63 m,84.6 kg,31.8
United States,1.63 m,77.1 kg,29.0
Puerto Rico,1.63 m,76.0 kg,28.6
Samoa,1.63 m,90.5 kg,34.1
China,1.63 m,62.2 kg,23.5
Georgia,1.63 m,73.2 kg,27.7
South Korea,1.63 m,61.0 kg,23.1
Hungary,1.62 m,70.1 kg,26.6
Spain,1.62 m,65.9 kg,25.1
Brazil,1.62 m,70.3 kg,26.8
Albania,1.62 m,69.2 kg,26.4
Israel,1.62 m,71.1 kg,27.1
Algeria,1.62 m,69.4 kg,26.5
Chad,1.62 m,57.3 kg,21.9
Kazakhstan,1.61 m,69.3 kg,26.6
Turkey,1.61 m,75.0 kg,28.8
Italy,1.61 m,64.8 kg,24.9
Singapore,1.61 m,60.2 kg,23.2
Iran,1.61 m,70.5 kg,27.2
Portugal,1.61 m,65.8 kg,25.4
Argentina,1.61 m,71.4 kg,27.6
Kiribati,1.61 m,80.3 kg,31.1
Morocco,1.61 m,68.7 kg,26.6
North Korea,1.61 m,61.9 kg,24.0
Qatar,1.60 m,77.6 kg,30.2
Taiwan,1.60 m,60.9 kg,23.7
Hong Kong,1.60 m,61.1 kg,23.8
Haiti,1.60 m,62.1 kg,24.2
Egypt,1.60 m,80.5 kg,31.4
Cameroon,1.60 m,64.3 kg,25.1
United Arab Emirates,1.60 m,75.6 kg,29.5
Costa Rica,1.60 m,71.7 kg,28.0
Sudan,1.60 m,66.3 kg,26.0
Mongolia,1.60 m,67.8 kg,26.6
Venezuela,1.60 m,68.5 kg,26.9
Zimbabwe,1.60 m,64.6 kg,25.4
Palau,1.59 m,75.4 kg,29.7
Somalia,1.59 m,60.4 kg,23.8
Chile,1.59 m,71.5 kg,28.2
Micronesia,1.59 m,79.6 kg,31.4
Kenya,1.59 m,61.8 kg,24.4
Thailand,1.59 m,63.3 kg,25.0
Mauritius,1.59 m,65.7 kg,26.0
Ghana,1.59 m,63.3 kg,25.2
South Africa,1.58 m,74.1 kg,29.5
Iraq,1.58 m,74.4 kg,29.7
Saudi Arabia,1.58 m,73.6 kg,29.4
Japan,1.58 m,54.8 kg,21.9
Colombia,1.58 m,66.4 kg,26.7
Nigeria,1.58 m,59.7 kg,24.0
Vietnam,1.58 m,54.0 kg,21.7
Nauru,1.58 m,82.2 kg,33.1
Mexico,1.57 m,70.7 kg,28.5
Eritrea,1.57 m,52.2 kg,21.1
Ethiopia,1.57 m,51.6 kg,21.0
Malaysia,1.57 m,64.0 kg,26.1
Congo (Dem. Republic),1.56 m,55.0 kg,22.6
El Salvador,1.56 m,68.8 kg,28.3
Sri Lanka,1.55 m,57.3 kg,23.7
Bolivia,1.55 m,66.8 kg,27.7
Afghanistan,1.55 m,57.9 kg,24.0
India,1.55 m,52.5 kg,21.9
Ecuador,1.55 m,66.9 kg,27.9
Burundi,1.55 m,51.5 kg,21.5
Brunei,1.55 m,65.0 kg,27.2
Pakistan,1.54 m,58.9 kg,24.7
Cambodia,1.54 m,52.8 kg,22.2
Myanmar,1.54 m,54.7 kg,23.0
Maldives,1.54 m,62.4 kg,26.3
Indonesia,1.54 m,56.2 kg,23.7
Yemen,1.54 m,56.9 kg,24.0
Philippines,1.54 m,55.5 kg,23.5
Laos,1.53 m,53.7 kg,23.0
Madagascar,1.53 m,49.2 kg,21.1
Bangladesh,1.52 m,50.5 kg,21.8
Nepal,1.52 m,51.6 kg,22.3
Timor-Leste,1.52 m,49.0 kg,21.2
Guatemala,1.51 m,61.9 kg,27.3
